IP,OPEN_PORTS
192.168.0.1,"{'port': 80, 'service': 'HTTP'}, {'port': 443, 'service': 'HTTPS'}"
192.168.0.25,"{'port': 22, 'service': 'SSH'}, {'port': 80, 'service': 'HTTP'}"
192.168.0.26,"{'port': 22, 'service': 'SSH'}, {'port': 80, 'service': 'HTTP'}"
192.168.0.27,"{'port': 22, 'service': 'SSH'}, {'port': 80, 'service': 'HTTP'}"
192.168.0.28,"{'port': 22, 'service': 'SSH'}, {'port': 80, 'service': 'HTTP'}"
192.168.0.32,"{'port': 22, 'service': 'SSH'}"
192.168.0.42,"{'port': 445, 'service': 'SMB'}, {'port': 3389, 'service': 'RDP'}"
192.168.0.43,"{'port': 22, 'service': 'SSH'}"
192.168.0.46,"{'port': 22, 'service': 'SSH'}"
192.168.0.91,"{'port': 22, 'service': 'SSH'}"
192.168.0.107,"{'port': 22, 'service': 'SSH'}"
192.168.0.113,"{'port': 80, 'service': 'HTTP'}, {'port': 443, 'service': 'HTTPS'}"
192.168.0.121,"{'port': 22, 'service': 'SSH'}"
192.168.0.124,"{'port': 22, 'service': 'SSH'}"
192.168.0.131,"{'port': 22, 'service': 'SSH'}"
192.168.0.146,"{'port': 22, 'service': 'SSH'}"
192.168.0.156,"{'port': 22, 'service': 'SSH'}"
192.168.0.164,"{'port': 22, 'service': 'SSH'}"
192.168.0.173,"{'port': 22, 'service': 'SSH'}"
192.168.0.183,"{'port': 22, 'service': 'SSH'}"
192.168.0.209,"{'port': 22, 'service': 'SSH'}"
192.168.0.211,"{'port': 22, 'service': 'SSH'}"
