IP,HOSTNAME,SERVICIOS
192.168.0.1,unifi,"HTTP:80, HTTPS:443"
192.168.0.25,Desconocido,HTTP:80
192.168.0.26,Desconocido,"SSH:22, HTTP:80"
192.168.0.27,Desconocido,"SSH:22, HTTP:80"
192.168.0.28,Desconocido,"SSH:22, HTTP:80"
192.168.0.32,UAP-AC-M-Pro-Camp3-Baos,SSH:22
192.168.0.42,ARANDNBK24523,"SMB:445, RDP:3389"
192.168.0.43,ACPro-Comedor1,SSH:22
192.168.0.46,UAP-AC-M-Pro-Camp3-FondoPasillo,SSH:22
192.168.0.91,UAP-AC-M-Pro-Camp3-DepositoAgua,SSH:22
192.168.0.107,ACPro-OficinaHyS,SSH:22
192.168.0.113,NPID36E60,"HTTP:80, HTTPS:443"
192.168.0.121,UAP-AC-M-Pro-Camp1-ComedorExter,SSH:22
192.168.0.124,U6Pro-ModulodeRescate,SSH:22
192.168.0.131,UAP-AC-M-Pro-Camp3-HabJAB,SSH:22
192.168.0.146,MARA-AGUARICASWITCHCAMP3,SSH:22
192.168.0.156,ACPro-Oficinatecnica,SSH:22
192.168.0.164,UAP-AC-M-Pro-Camp1-Dormitorio,SSH:22
192.168.0.173,MARA-AGUARICASWITCHWIFI,SSH:22
192.168.0.183,U6Pro-Loguera,SSH:22
192.168.0.209,ACPro-Comedor2,SSH:22
192.168.0.211,UAP-AC-M-Pro-Camp1-Generador,SSH:22
