IP,HOSTNAME,FABRICANTE,TIPO,SERVICIOS
192.168.0.1,unifi,Ubiquiti,UniFi Device,"HTTP:80, HTTPS:443"
192.168.0.25,Desconocido,Desconocido,Linux Server / Network Device,"SSH:22, HTTP:80"
192.168.0.26,Desconocido,Desconocido,Linux Server / Network Device,"SSH:22, HTTP:80"
192.168.0.27,Desconocido,Desconocido,Linux Server / Network Device,"SSH:22, HTTP:80"
192.168.0.28,Desconocido,Desconocido,Linux Server / Network Device,"SSH:22, HTTP:80"
192.168.0.32,UAP-AC-M-Pro-Camp3-Baos,Ubiquiti,Access Point,SSH:22
192.168.0.42,ARANDNBK24523,Microsoft,Windows Workstation,"SMB:445, RDP:3389"
192.168.0.43,ACPro-Comedor1,Desconocido,SSH Enabled Device,SSH:22
192.168.0.46,UAP-AC-M-Pro-Camp3-FondoPasillo,Ubiquiti,Access Point,SSH:22
192.168.0.91,UAP-AC-M-Pro-Camp3-DepositoAgua,Ubiquiti,Access Point,SSH:22
192.168.0.107,ACPro-OficinaHyS,Desconocido,SSH Enabled Device,SSH:22
192.168.0.113,NPID36E60,Desconocido,Web Device,"HTTP:80, HTTPS:443"
192.168.0.121,UAP-AC-M-Pro-Camp1-ComedorExter,Ubiquiti,Access Point,SSH:22
192.168.0.124,U6Pro-ModulodeRescate,Ubiquiti,WiFi 6 Access Point,SSH:22
192.168.0.131,UAP-AC-M-Pro-Camp3-HabJAB,Ubiquiti,Access Point,SSH:22
192.168.0.146,MARA-AGUARICASWITCHCAMP3,Desconocido,SSH Enabled Device,SSH:22
192.168.0.156,ACPro-Oficinatecnica,Desconocido,SSH Enabled Device,SSH:22
192.168.0.164,UAP-AC-M-Pro-Camp1-Dormitorio,Ubiquiti,Access Point,SSH:22
192.168.0.173,MARA-AGUARICASWITCHWIFI,Desconocido,SSH Enabled Device,SSH:22
192.168.0.183,U6Pro-Loguera,Ubiquiti,WiFi 6 Access Point,SSH:22
192.168.0.209,ACPro-Comedor2,Desconocido,SSH Enabled Device,SSH:22
192.168.0.211,UAP-AC-M-Pro-Camp1-Generador,Ubiquiti,Access Point,SSH:22
